panel,forcing,region_index,region_abbreviation,region_name,posterior_mean,lower_5th_percentile,upper_95th_percentile,units
c,GHG,16,NEU,N.Europe,2.185746719401112,1.521932756309142,2.849560682493082,degC
c,GHG,17,WCE,West&Central-Europe,1.914233738954898,1.1933480025432845,2.635119475366511,degC
c,GHG,18,EEU,E.Europe,2.674209346336816,1.998406339402774,3.3500123532708574,degC
c,GHG,19,MED,Mediterranean,1.605212519285033,1.0063074984005147,2.204117540169551,degC
c,GHG,20,SAH,Sahara,1.8043936820081967,1.1735862230376592,2.4352011409787337,degC
c,GHG,21,WAF,Western-Africa,1.712238827730362,1.2809772383585085,2.143500417102215,degC
c,GHG,22,CAF,Central-Africa,1.3584633514457003,0.8758320093207839,1.8410946935706165,degC
c,GHG,23,NEAF,N.Eastern-Africa,1.731592901343197,1.3321254461561782,2.1310603565302153,degC
c,GHG,24,SEAF,S.Eastern-Africa,1.4467395053918644,0.9841045635654967,1.909374447218232,degC
c,GHG,25,WSAF,W.Southern-Africa,1.6638653980380878,1.2122651166606497,2.1154656794155255,degC
c,GHG,26,ESAF,E.Southern-Africa,1.5439485568206766,1.1490625418709115,1.9388345717704414,degC
c,GHG,27,MDG,Madagascar,1.3367278433125853,1.0389555610749732,1.6345001255501972,degC
c,GHG,28,RAR,Russian-Arctic,4.192466071831946,2.6173813145408396,5.767550829123052,degC
c,GHG,29,WSB,W.Siberia,2.762623379006267,2.0573231507787337,3.4679236072337996,degC
c,GHG,30,ESB,E.Siberia,2.626034679095455,1.959078362256872,3.292990995934038,degC
c,GHG,31,RFE,Russian-Far-East,2.8619642614533216,2.102358621895428,3.6215699010112146,degC
c,GHG,32,WCA,W.C.Asia,2.1800033206709126,1.3341709919816238,3.025835649360201,degC
c,GHG,33,ECA,E.C.Asia,2.2174631346941713,1.596699204696391,2.838227064691951,degC
c,GHG,34,TIB,Tibetan-Plateau,2.4174917567404117,1.7143798074805368,3.1206037060002862,degC
c,GHG,35,EAS,E.Asia,2.0904687825403245,1.6404360707202192,2.5405014943604294,degC
c,GHG,36,ARP,Arabian-Peninsula,1.9718057874312578,1.3619439628565597,2.5816676120059556,degC
c,GHG,37,SAS,S.Asia,1.761865804210562,1.339348787129938,2.1843828212911856,degC
c,GHG,38,SEA,S.E.Asia,1.2104415548016636,0.8760116201483081,1.5448714894550188,degC
c,GHG,39,NAU,N.Australia,1.1692132172257967,0.7962034282817891,1.5422230061698041,degC
c,GHG,40,CAU,C.Australia,1.5845241403050307,1.059056300185612,2.109991980424449,degC
c,GHG,41,EAU,E.Australia,1.6119810249951423,1.145962641207157,2.0779994087831275,degC
c,GHG,42,SAU,S.Australia,0.8855692215982227,0.4984353217792386,1.2727031214172067,degC
c,GHG,43,NZ,New-Zealand,0.8870041071095627,0.48694157640200786,1.2870666378171172,degC
c,GHG,44,EAN,E.Antarctica,1.2087642651600212,0.27148726833907577,2.146041261980966,degC
c,GHG,45,WAN,W.Antarctica,1.4515129599405516,0.5134656769172091,2.389560242963894,degC
c,GHG,46,LSAT,Global Land,1.7527141993003326,1.1434634851332142,2.3619649134674505,degC
d,OANT,0,GIC,Greenland/Iceland,-0.0833394256508942,-1.7772706574975352,1.610591806195746,degC
d,OANT,1,NWN,N.W.North-America,-0.45208483890513024,-1.588152491010001,0.6839828131997401,degC
d,OANT,2,NEN,N.E.North-America,-0.4004755030741102,-1.508794985845383,0.707843979697162,degC
d,OANT,3,WNA,W.North-America,-0.9532394623417955,-1.63748060654599,-0.26899831813760133,degC
d,OANT,4,CNA,C.North-America,-0.4698329607996228,-1.3193199472453467,0.3796540256461005,degC
d,OANT,5,ENA,E.North-America,-0.7177944222680902,-1.3406505519813905,-0.09493829255479025,degC
d,OANT,6,NCA,N.Central-America,-0.06461763951969346,-0.5271790323718627,0.39794375333247556,degC
d,OANT,7,SCA,S.Central-America,-0.034901303540300355,-0.3684653608039293,0.2986627537233284,degC
d,OANT,8,CAR,Caribbean,-0.06701211138824587,-0.401170676925759,0.2671464541492671,degC
d,OANT,9,NWS,N.W.South-America,-0.23240770758439666,-0.609683254448977,0.14486783928018337,degC
d,OANT,10,NSA,N.South-America,-0.22847813068094786,-0.7349906550943786,0.27803439373248257,degC
d,OANT,11,NES,N.E.South-America,-0.13209403639127748,-0.7239431507103158,0.4597550779277605,degC
d,OANT,12,SAM,South-American-Monsoon,-0.1483499001433035,-0.957620841091242,0.6609210408046345,degC
d,OANT,13,SWS,S.W.South-America,-0.3170814060087993,-0.6173661453864666,-0.016796666631132162,degC
d,OANT,14,SES,S.E.South-America,-0.06691072935922804,-0.4686110655359187,0.3347896068174624,degC
d,OANT,15,SSA,S.South-America,-0.8037086096241873,-1.077811809695338,-0.5296054095530367,degC
d,OANT,16,NEU,N.Europe,-0.6917773199926349,-1.6391976909327222,0.25564305094745177,degC
d,OANT,17,WCE,West&Central-Europe,-0.0777486691806607,-0.7733729910096894,0.6178756526483676,degC
d,OANT,18,EEU,E.Europe,-0.722112875158002,-1.5014999675889646,0.057274217272960115,degC
d,OANT,19,MED,Mediterranean,-0.03879638183317041,-0.5657912774354461,0.4881985137691049,degC
d,OANT,20,SAH,Sahara,-0.21876565909949164,-0.8594912307669165,0.42195991256793286,degC
d,OANT,21,WAF,Western-Africa,-0.4207838229030507,-0.9862893939116287,0.14472174810552707,degC
d,OANT,22,CAF,Central-Africa,-0.22207149571928653,-0.6936628396181117,0.24951984817953837,degC
d,OANT,23,NEAF,N.Eastern-Africa,-0.3172134523067558,-0.8228020397319465,0.18837513511843473,degC
d,OANT,24,SEAF,S.Eastern-Africa,-0.23779490803186493,-0.6468344126781577,0.1712445966144276,degC
d,OANT,25,WSAF,W.Southern-Africa,-0.3913338325309694,-0.873715135252517,0.09104747019057785,degC
d,OANT,26,ESAF,E.Southern-Africa,-0.2606687996599701,-0.7413096584013357,0.21997205908139517,degC
d,OANT,27,MDG,Madagascar,-0.23659509810484106,-0.5498888912213263,0.07669869501164403,degC
d,OANT,28,RAR,Russian-Arctic,-1.2843286308288535,-3.421438385319557,0.852781123661849,degC
d,OANT,29,WSB,W.Siberia,-0.5535346296777817,-1.765216063178772,0.6581468038232081,degC
d,OANT,30,ESB,E.Siberia,-0.2441628858132301,-1.245074720223803,0.7567489485973424,degC
d,OANT,31,RFE,Russian-Far-East,-1.0200254275884215,-2.0587832785833537,0.018732423406509824,degC
d,OANT,32,WCA,W.C.Asia,-0.3357129901766448,-1.2934428098326198,0.6220168294793298,degC
d,OANT,33,ECA,E.C.Asia,-0.7130519894945558,-1.3793577826571828,-0.046746196331929224,degC
d,OANT,34,TIB,Tibetan-Plateau,-0.6267264132582977,-1.4651551405697212,0.21170231405312534,degC
d,OANT,35,EAS,E.Asia,-0.687002400021016,-1.2435866020357254,-0.13041819800630694,degC
d,OANT,36,ARP,Arabian-Peninsula,-0.2731308112126339,-0.9223284694627027,0.3760668470374347,degC
d,OANT,37,SAS,S.Asia,-0.6922963600777132,-1.1463209822343554,-0.2382717379210712,degC
d,OANT,38,SEA,S.E.Asia,-0.26022192494516627,-0.5771019111758313,0.05665806128549866,degC
d,OANT,39,NAU,N.Australia,-0.20487242381767104,-0.5578171388542655,0.14807229121892332,degC
d,OANT,40,CAU,C.Australia,-0.349506385407633,-0.7904800908382551,0.09146732002298885,degC
d,OANT,41,EAU,E.Australia,-0.42176652359890765,-0.7692634685560724,-0.0742695786417431,degC
d,OANT,42,SAU,S.Australia,0.016433432621012305,-0.3976102436104071,0.4304771088524315,degC
d,OANT,43,NZ,New-Zealand,0.05816803380961383,-0.38966322373983886,0.5059992913590663,degC
d,OANT,44,EAN,E.Antarctica,-0.21017232189057417,-0.9376718360105467,0.517327192229398,degC
d,OANT,45,WAN,W.Antarctica,-0.3434268422202936,-0.9815945005754135,0.29474081613482594,degC
d,OANT,46,LSAT,Global Land,-0.30128139609495064,-0.9766781482223189,0.3741153560324172,degC
