year,prior_warming,posterior_warming,units,is_current_year,is_1p5C_crossing_year,is_2C_crossing_year
1945,0.22376766040399967,0.26126803529701126,degC,False,False,False
1946,0.22400761987801288,0.2636950284810747,degC,False,False,False
1947,0.2237402260518892,0.2653945515711319,degC,False,False,False
1948,0.22298029466864971,0.26639592279334556,degC,False,False,False
1949,0.22174795886431645,0.26673750060355433,degC,False,False,False
1950,0.2200695089042347,0.2664682880015007,degC,False,False,False
1951,0.2179784216100182,0.2656472705291378,degC,False,False,False
1952,0.21551535686205212,0.26434442520079676,degC,False,False,False
1953,0.21272851419271377,0.2626378993252452,degC,False,False,False
1954,0.2096713752926601,0.26061021454718925,degC,False,False,False
1955,0.20640261063455034,0.2583524084545271,degC,False,False,False
1956,0.2029852590222121,0.2559612036347166,degC,False,False,False
1957,0.19948623388148046,0.25353830406826616,degC,False,False,False
1958,0.19597793367135072,0.25118769167187915,degC,False,False,False
1959,0.19253481976818887,0.24901185145146162,degC,False,False,False
1960,0.18922967480199004,0.24710374763894682,degC,False,False,False
1961,0.1861343808580026,0.24554915717161246,degC,False,False,False
1962,0.1833208879051095,0.24443160192035202,degC,False,False,False
1963,0.18086170094920767,0.24383188238151493,degC,False,False,False
1964,0.1788282064506915,0.24382761294070596,degC,False,False,False
1965,0.17728967112153735,0.2444910538437501,degC,False,False,False
1966,0.17631275199387597,0.24588664267526067,degC,False,False,False
1967,0.17596117151564175,0.2480703368004395,degC,False,False,False
1968,0.17629509874460253,0.2510919612756898,degC,False,False,False
1969,0.17736999234155207,0.25499241004799333,degC,False,False,False
1970,0.17923722928699504,0.25980624308939926,degC,False,False,False
1971,0.1819434675047682,0.2655593391170725,degC,False,False,False
1972,0.185527454448569,0.272263999542779,degC,False,False,False
1973,0.19002409900287578,0.27992606994237285,degC,False,False,False
1974,0.19546569097170224,0.2885478666893603,degC,False,False,False
1975,0.2018792963063421,0.29812443924720256,degC,False,False,False
1976,0.20928359949165043,0.30864246464444745,degC,False,False,False
1977,0.21769190322476215,0.32008331681446645,degC,False,False,False
1978,0.22711340233764926,0.33242292241429855,degC,False,False,False
1979,0.23755305822503667,0.34563456329770254,degC,False,False,False
1980,0.24901012430664904,0.35968629767360094,degC,False,False,False
1981,0.26147834429377714,0.37454253861181086,degC,False,False,False
1982,0.27494779912201633,0.39016598281523795,degC,False,False,False
1983,0.28940268666167523,0.4065162314251246,degC,False,False,False
1984,0.30482213727649277,0.42354858923756766,degC,False,False,False
1985,0.32118001088066017,0.44121500613130027,degC,False,False,False
1986,0.33844542636487535,0.4594639365022214,degC,False,False,False
1987,0.35658477874521227,0.4782444997392457,degC,False,False,False
1988,0.3755627149180355,0.49751010838769094,degC,False,False,False
1989,0.3953428202638444,0.5172181389709509,degC,False,False,False
1990,0.4158870901017191,0.5373270747811973,degC,False,False,False
1991,0.43715602903765505,0.5577972316800262,degC,False,False,False
1992,0.4591099254070262,0.5785905039593671,degC,False,False,False
1993,0.48170904022723104,0.5996723228174962,degC,False,False,False
1994,0.5049143325940023,0.6210107015464827,degC,False,False,False
1995,0.5286875660002108,0.6425761911145372,degC,False,False,False
1996,0.5529924968684715,0.6643446979412779,degC,False,False,False
1997,0.5777942413733868,0.6862957283000863,degC,False,False,False
1998,0.6030584863667904,0.7084136114088746,degC,False,False,False
1999,0.6287523343711969,0.7306877515365585,degC,False,False,False
2000,0.6548442910704516,0.753110776650856,degC,False,False,False
2001,0.6813061026232472,0.7756808123872416,degC,False,False,False
2002,0.7081119808193969,0.7983988637457904,degC,False,False,False
2003,0.7352386810750926,0.8212692352434635,degC,False,False,False
2004,0.7626657798197354,0.8442979342367771,degC,False,False,False
2005,0.7903761028740259,0.8674935094519232,degC,False,False,False
2006,0.818355648584516,0.8908678477640904,degC,False,False,False
2007,0.8465946375511181,0.9144357794181445,degC,False,False,False
2008,0.8750854150455905,0.938213069411201,degC,False,False,False
2009,0.9038217455540837,0.9622154541493301,degC,False,False,False
2010,0.9327994893223761,0.9864598207704768,degC,False,False,False
2011,0.962017812473771,1.0109666181549486,degC,False,False,False
2012,0.9914793162402495,1.0357597846071225,degC,False,False,False
2013,1.021190250893134,1.060865495515678,degC,False,False,False
2014,1.051160745474406,1.0863089978135738,degC,False,False,False
2015,1.0814033639218663,1.1121147109959937,degC,False,False,False
2016,1.1119324438438138,1.1383074418301917,degC,False,False,False
2017,1.1427646101235625,1.1649126937795518,degC,False,False,False
2018,1.1739178083395614,1.1919545462467287,degC,False,False,False
2019,1.2054097989926138,1.2194534974451492,degC,False,False,False
2020,1.2372588612031012,1.2474282095090172,degC,False,False,False
2021,1.2694843378955307,1.2758953786556104,degC,False,False,False
2022,1.302105278641376,1.3048696068987145,degC,False,False,False
2023,1.3351395457045736,1.3343642867175185,degC,False,False,False
2024,1.3686054851568201,1.3643919491343355,degC,False,False,False
2025,1.4025222626943097,1.3949634526992933,degC,True,False,False
2026,1.4369093394073578,1.426089509322054,degC,False,False,False
2027,1.4717855478231892,1.4577802275937022,degC,False,False,False
2028,1.507169269631377,1.4900452470415475,degC,False,False,False
2029,1.543078589087339,1.522894319026034,degC,False,True,False
2030,1.5795312482086952,1.5563369973816088,degC,False,False,False
2031,1.6165437557215985,1.5903823834846955,degC,False,False,False
2032,1.6541299383536792,1.625038018505156,degC,False,False,False
2033,1.692301989938771,1.6603082259695165,degC,False,False,False
2034,1.7310705174931476,1.6961950218008641,degC,False,False,False
2035,1.770444225823219,1.7326996623135011,degC,False,False,False
2036,1.8104301541240317,1.7698230448126222,degC,False,False,False
2037,1.8510342570746707,1.8075655674465718,degC,False,False,False
2038,1.8922608117033515,1.845925847140244,degC,False,False,False
2039,1.9341126125093429,1.8849005609403466,degC,False,False,False
2040,1.976590460721326,1.9244831696357312,degC,False,False,False
2041,2.019692583412143,1.9646636036429141,degC,False,False,False
2042,2.0634158213021703,2.0054317115022458,degC,False,False,True
2043,2.1077554710158877,2.0467767363509575,degC,False,False,False
2044,2.1527059148936547,2.088687277391501,degC,False,False,False
2045,2.198260791031124,2.1311504295160333,degC,False,False,False
2046,2.244413361642824,2.174154551580478,degC,False,False,False
2047,2.291157345996088,2.2176895794499583,degC,False,False,False
2048,2.3384871446999265,2.2617461646755133,degC,False,False,False
2049,2.3863957547930275,2.306313950777688,degC,False,False,False
2050,2.43487487197057,2.3513820725452366,degC,False,False,False
2051,2.4839164305528296,2.3969396780517416,degC,False,False,False
2052,2.5335121203991586,2.4429756843066057,degC,False,False,False
2053,2.5836518119205607,2.4894783203909454,degC,False,False,False
2054,2.634323670907147,2.536434362434534,degC,False,False,False
2055,2.6855140904921706,2.5838292686511695,degC,False,False,False
2056,2.73720960513128,2.6316495973220744,degC,False,False,False
2057,2.789396671747285,2.6798818831009896,degC,False,False,False
2058,2.842061271895024,2.7285122594851767,degC,False,False,False
2059,2.8951898031393792,2.7775263047517336,degC,False,False,False
2060,2.948769776764582,2.8269096796663487,degC,False,False,False
2061,3.002788750501624,2.8766477808118176,degC,False,False,False
2062,3.057233039401871,2.9267242985437476,degC,False,False,False
2063,3.112088609694534,2.9771229243488984,degC,False,False,False
2064,3.167340978346325,3.0278267278899738,degC,False,False,False
2065,3.222976022648914,3.078820247608417,degC,False,False,False
2066,3.278979925276817,3.130088645674424,degC,False,False,False
2067,3.3353390316142395,3.1816172011899106,degC,False,False,False
2068,3.3920384769623144,3.233392338208891,degC,False,False,False
2069,3.449062796190374,3.2854006876452435,degC,False,False,False
2070,3.5063954736275447,3.3376277485237,degC,False,False,False
2071,3.56401941133422,3.3900582004084674,degC,False,False,False
2072,3.621917518219986,3.4426761983814598,degC,False,False,False
2073,3.6800730169037275,3.495466200443397,degC,False,False,False
2074,3.738469267740573,3.548413267618538,degC,False,False,False
2075,3.7970888827469733,3.601503572698597,degC,False,False,False
2076,3.8559144113201187,3.654724903812796,degC,False,False,False
2077,3.9149287108647934,3.7080656616172796,degC,False,False,False
2078,3.9741151459977737,3.7615138655194564,degC,False,False,False
2079,4.03345795211309,3.815058449402006,degC,False,False,False
2080,4.092941457435039,3.868689280587099,degC,False,False,False
2081,4.152550236700932,3.9223974565470763,degC,False,False,False
2082,4.212269773224796,3.9761737387770117,degC,False,False,False
2083,4.2720870077898745,4.030008383557266,degC,False,False,False
2084,4.3319892172390695,4.083891651821714,degC,False,False,False
2085,4.391964979254773,4.1378156015346725,degC,False,False,False
2086,4.452004192539642,4.191773540367614,degC,False,False,False
2087,4.512097544307137,4.245759548454947,degC,False,False,False
2088,4.572236613570553,4.299768112137705,degC,False,False,False
2089,4.632413607466414,4.353794318707003,degC,False,False,False
2090,4.692621471523175,4.407833795740719,degC,False,False,False
2091,4.752853910954043,4.461882354798289,degC,False,False,False
2092,4.813105478171316,4.515936684034541,degC,False,False,False
2093,4.873371403144933,4.569994547343295,degC,False,False,False
2094,4.933647264332921,4.624054360492326,degC,False,False,False
2095,4.99392937226077,4.6781156011406155,degC,False,False,False
2096,5.054215027212054,4.7321781120304856,degC,False,False,False
2097,5.114502483633517,4.7862418399012014,degC,False,False,False
2098,5.174790891362113,4.840306714013545,degC,False,False,False
2099,5.235079885621319,4.894372493039948,degC,False,False,False
2100,5.295369123315703,4.9484387461071435,degC,False,False,False
